
 Amplitude = (peak-valley)/2 

 
          Range            Cycle       Ave     Max     Ave     Min      Max
         (units)           Counts      Amp     Amp     Mean    Valley   Peak 
  1469.5020 to 1632.7800	     0.5	 816.4	 816.4	-173.9	 -990.3	  642.5
  1306.2240 to 1469.5020	     2.5	 694.8	 720.9	-118.3	 -851.4	  642.5
  1142.9460 to 1306.2240	    28.5	 604.6	   647	-93.32	 -825.3	  703.3
  979.6680 to 1142.9460	    88.0	 523.3	 568.9	-94.01	 -868.7	    573
  816.3900 to 979.6680	   202.5	 444.6	 486.4	-81.79	   -695	  546.9
  653.1120 to 816.3900	   389.5	   363	 403.9	-67.51	 -651.6	  512.2
  489.8340 to 653.1120	   524.5	 284.2	 325.7	-61.54	 -990.3	  703.3
  326.5560 to 489.8340	   802.5	 201.7	 243.2	-32.81	 -851.4	    738
  244.9170 to 326.5560	   463.0	 142.4	 160.7	 -49.6	 -781.9	  633.8
  163.2780 to 244.9170	   425.0	 110.1	 121.6	-39.17	 -642.9	  633.8
   81.6390 to 163.2780	    18.5	 55.51	 73.82	-135.3	 -590.8	  425.3
   40.8195 to  81.6390	     9.0	 33.78	 39.08	-49.92	 -417.1	  503.5
    0.0000 to  40.8195	    21.0	 9.099	 17.37	-68.88	 -469.2	  390.6
