
 Amplitude = (peak-valley)/2 

 
          Range            Cycle       Ave     Max     Ave     Min      Max
         (units)           Counts      Amp     Amp     Mean    Valley   Peak 
   27.0000 to  30.0000	     0.5	    15	    15	     0	    -15	     15
   24.0000 to  27.0000	     0.0	     0	     0	     0	      0	      0
   21.0000 to  24.0000	     1.0	  10.5	  10.5	   1.5	     -9	     12
   18.0000 to  21.0000	     1.5	 9.667	    10	     2	     -9	     15
   15.0000 to  18.0000	     2.0	     8	     8	    -1	    -15	     11
   12.0000 to  15.0000	     0.0	     0	     0	     0	      0	      0
    9.0000 to  12.0000	     2.5	   4.9	   5.5	   4.9	      0	     11
    6.0000 to   9.0000	     0.0	     0	     0	     0	      0	      0
    4.5000 to   6.0000	     0.0	     0	     0	     0	      0	      0
    3.0000 to   4.5000	     0.0	     0	     0	     0	      0	      0
    1.5000 to   3.0000	     0.0	     0	     0	     0	      0	      0
    0.7500 to   1.5000	     0.0	     0	     0	     0	      0	      0
    0.0000 to   0.7500	     0.0	     0	     0	     0	      0	      0
