
 Amplitude = (peak-valley)/2 

 
          Range            Cycle       Ave     Max     Ave     Min      Max
         (units)           Counts      Amp     Amp     Mean    Valley   Peak 
    0.4641 to   0.5157	     0.5	0.2578	0.2578	0.03844	 -0.2194	 0.2963
    0.4125 to   0.4641	     0.0	     0	     0	     0	      0	      0
    0.3610 to   0.4125	     1.0	0.1936	0.2018	0.0557	 -0.203	  0.298
    0.3094 to   0.3610	     2.0	 0.156	0.1568	-0.06315	 -0.3458	 0.2408
    0.2578 to   0.3094	     1.0	0.1427	0.1427	-0.1792	 -0.3219	 -0.03647
    0.2063 to   0.2578	     3.0	 0.123	0.1265	0.06491	 -0.1366	  0.389
    0.1547 to   0.2063	     5.5	0.08944	0.09616	0.09781	 -0.2576	 0.3802
    0.1031 to   0.1547	    11.5	0.06233	0.06761	-0.002801	 -0.3575	 0.3035
    0.0773 to   0.1031	     6.0	0.04406	0.04735	0.00288	 -0.3034	 0.3988
    0.0516 to   0.0773	    14.0	0.03109	0.03737	0.00339	 -0.3868	 0.3992
    0.0258 to   0.0516	    50.5	0.0189	0.0257	0.03946	 -0.3916	 0.3951
    0.0129 to   0.0258	    85.5	0.00882	0.01244	-0.01673	 -0.3788	 0.3975
    0.0000 to   0.0129	155980.0	6.898e-05	0.006348	0.001822	 -0.4008	 0.4009
